	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000022136	3830.4	2574.2	0.593490912982423	6.30242072258277	171.563227459025	5.6010994783894e-15	3.54639214573703e-12
ENSMUSG00000027333	2420.4	1536.8	0.670728823570289	5.64140424716023	168.927314222976	7.00779849768419e-15	4.26640163153243e-12
ENSMUSG00000060166	6690.2	10303.8	-0.606991044620981	7.83277445316874	167.247542174788	8.0957401857654e-15	4.74620264446224e-12
ENSMUSG00000030413	105.4	44.4	1.26135056082307	0.888047888641658	166.148755076352	8.90304749535833e-15	4.90201152319897e-12
ENSMUSG00000002831	502.6	34.4	3.93970051135404	2.89310492658888	197.802652909981	9.02993394504021e-15	4.90201152319897e-12
ENSMUSG00000089809	925.8	1572	-0.773627818100311	5.11793438414688	165.658214208905	9.29056451424405e-15	4.90201152319897e-12
ENSMUSG00000043557	1867.8	880.6	1.10062188406902	5.04143644013554	170.346938690957	1.08872997616857e-14	5.55919573960396e-12
ENSMUSG00000033998	2657.6	2088.8	0.358305327211809	5.94411866339141	161.565465501737	1.33114252191521e-14	6.58457968106119e-12
ENSMUSG00000035711	1465.4	717.4	1.03522576552421	4.5688258377698	158.884620409862	2.05219152562519e-14	9.84367868458218e-12
ENSMUSG00000051817	1290.4	1890	-0.544415784099747	5.37878331538502	150.958245121954	3.50586172709708e-14	1.63218486112411e-11
ENSMUSG00000104415	170	46.6	1.86632212291573	1.56878255487802	150.120704787639	3.79339199922844e-14	1.7155886273082e-11
ENSMUSG00000045193	3313.6	6285	-0.911860367306585	7.08090673396538	156.610433433012	4.11572076141774e-14	1.80965955368004e-11
ENSMUSG00000049892	1298	402.4	1.69871060250367	4.23084203932761	164.749451867307	4.4743107909662e-14	1.91415852730281e-11
ENSMUSG00000105843	931.2	185.6	2.34445529615582	3.67810733212147	170.424576712868	4.97302350596213e-14	2.07152602831249e-11
ENSMUSG00000043872	379.4	200.6	0.94133138983684	2.662188762742	146.733560400091	5.2370234584297e-14	2.12556011085856e-11
ENSMUSG00000025823	2011.2	1178.4	0.784042638438422	5.22213386449811	145.023882685134	6.3355453078627e-14	2.50713366695397e-11
