	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000053838	4006	4617.4	-0.204743373336697	6.76183563462655	67.7498587775042	1.14964248146655e-09	1.1816682363074e-07
ENSMUSG00000035711	1007	651.4	0.651972482056443	4.5688258377698	67.993250502313	1.20992799631245e-09	1.23560969378257e-07
ENSMUSG00000020131	112.8	183	-0.697405012329961	1.92825871965333	67.1562113464409	1.27321114979159e-09	1.28695633753013e-07
ENSMUSG00000024242	4835.6	4172.4	0.224055376808382	6.8579586170872	67.1414003776977	1.27646815965779e-09	1.28695633753013e-07
ENSMUSG00000020785	6080.6	4872.6	0.318854746821117	7.10822070830323	66.9610052722564	1.31685328050208e-09	1.31927028968781e-07
ENSMUSG00000046807	515.2	743.8	-0.548837380357277	3.973023161081	66.8359166069365	1.34564929145181e-09	1.33964041725728e-07
ENSMUSG00000014361	807.4	524.4	0.585861851396492	4.09813626109287	66.5716246436147	1.40870429690873e-09	1.39364876973552e-07
ENSMUSG00000020067	255.2	423.8	-0.745445951291231	3.01246049839198	66.07706974932	1.53524543597492e-09	1.50940372708367e-07
ENSMUSG00000049511	346.6	226.8	0.601478651944255	2.93915825026594	65.7544934354405	1.62422344834285e-09	1.58702672616167e-07
ENSMUSG00000027318	352.8	587.4	-0.741924270203109	3.52036647028844	65.900766195491	1.64115964936266e-09	1.59373718342095e-07
ENSMUSG00000044734	65.6	133.4	-0.988327854188356	1.26558229196897	65.5791282737553	1.67487040630989e-09	1.61655632082191e-07
ENSMUSG00000042155	1786.2	2199	-0.301281753827899	5.65539302274235	65.4245890676481	1.7208884273669e-09	1.64387145239977e-07
ENSMUSG00000031983	918	1180.4	-0.363502698268395	4.72777725582008	65.3995616429619	1.72846599498146e-09	1.64387145239977e-07
ENSMUSG00000029625	1040.4	1297.6	-0.333254815110984	4.82168445226891	65.3802850611083	1.73432644229428e-09	1.64387145239977e-07
ENSMUSG00000032178	4517.4	5165.6	-0.201026025719841	6.92802668328185	65.3316696871534	1.74920001394269e-09	1.64810041789874e-07
ENSMUSG00000020374	857.6	1161	-0.456443246545175	4.69849882828305	65.2631378335245	1.77039655700634e-09	1.65820160360079e-07
ENSMUSG00000038991	1469.8	1735	-0.243695060595253	5.3273291370336	65.2242020932502	1.78256009699032e-09	1.65977316325057e-07
ENSMUSG00000025823	1612.8	1135.8	0.500802282927831	5.22213386449811	65.0283406332387	1.86818391529007e-09	1.72932650263898e-07
ENSMUSG00000029392	8711.2	6835.8	0.363711796123287	7.67283100787928	64.9189051755412	1.88105549772419e-09	1.73111787636489e-07
ENSMUSG00000037364	11956	10258.4	0.217809898142485	8.13123837362736	64.3671185423748	2.07397450591504e-09	1.89762673145255e-07
ENSMUSG00000075415	5966	7488	-0.339422969354895	7.36085308625318	64.1730431310706	2.14671523997823e-09	1.9491702056753e-07
ENSMUSG00000058624	6494.4	7828.8	-0.264779427721452	7.49786443568563	64.1515491927969	2.15493578869908e-09	1.9491702056753e-07
ENSMUSG00000032482	10840.6	13532	-0.316543163417015	8.27800236482389	63.8712031637082	2.26526087626145e-09	2.02891437941098e-07
ENSMUSG00000028243	2456.2	1944	0.335561300712214	5.82353205067525	63.862614730066	2.26873362281725e-09	2.02891437941098e-07
ENSMUSG00000062542	263.8	391.6	-0.585112943926989	3.07570551346242	63.3500565083032	2.48653915230111e-09	2.21120383380754e-07
ENSMUSG00000038349	1224.6	972.8	0.332618057130207	4.80883087121359	63.2197235026097	2.54537953028044e-09	2.2508833846262e-07
ENSMUSG00000039349	4473	5691.8	-0.339304330370304	7.02750135702701	63.0958177361769	2.60268567496723e-09	2.28288248738516e-07
ENSMUSG00000031310	6748.2	7714.4	-0.202125034609359	7.4813088009902	63.0793384383464	2.61040956609208e-09	2.28288248738516e-07
ENSMUSG00000028766	836.2	1274.8	-0.61718482390503	4.75555078168892	63.478276404564	2.73889545013356e-09	2.38208659781121e-07
ENSMUSG00000022136	3374.2	2675.4	0.339950523140644	6.30242072258277	62.6640422678898	2.81328750280373e-09	2.43341682414646e-07
ENSMUSG00000022508	2753.8	2146.8	0.37119590913106	6.11855873310987	62.5285166213221	2.88305198683168e-09	2.48020814671514e-07
ENSMUSG00000042082	1930.8	2549.6	-0.41013461318859	5.82421749111442	62.4442589218263	2.9273462692871e-09	2.49221982631001e-07
ENSMUSG00000021203	1341.8	939.4	0.53296227282849	4.88946119091339	62.6307052403343	2.92850393387871e-09	2.49221982631001e-07
ENSMUSG00000024245	2815	2214.4	0.363366390292445	6.00233386924475	62.1561445207317	3.08432990093533e-09	2.61079454555644e-07
