	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000105139	178.8	226.6	-0.338532161342301	2.30024245437517	8.4785871419236	0.00625432573617519	0.0263793849437664
ENSMUSG00000024378	1119.8	1269	-0.171988878034683	4.92443796096193	8.47582786219502	0.00625469858942963	0.0263793849437664
ENSMUSG00000028830	2442.8	2595.8	-0.0885494384835613	5.9985472771533	8.47530951474812	0.00625612553407664	0.0263793849437664
ENSMUSG00000033970	100.2	118.8	-0.242148830832683	1.52001797819667	9.614484818842	0.00626836813589097	0.0264239678356906
ENSMUSG00000041632	1457.8	1341.8	0.120823152411597	5.15236590714821	8.46598925844682	0.00628184272450458	0.026473718979282
ENSMUSG00000022574	107.4	130	-0.297255655301439	1.59878223733349	8.46388162017647	0.0062876740024122	0.0264883912519209
ENSMUSG00000020818	406.2	444.6	-0.128813148873723	3.45621761324539	8.46352145427537	0.00628867106732698	0.0264883912519209
ENSMUSG00000048495	405.6	356.2	0.172185614435631	3.23589796550044	8.46279586878472	0.00629068025652045	0.0264898052089551
ENSMUSG00000031827	3895	3499	0.150089434204165	6.57916125239716	8.45889814270796	0.00630148508833644	0.0265282466657653
ENSMUSG00000104850	23	33	-0.47927880582729	-0.416514962505062	8.81984347102935	0.0063071128909033	0.0265421652341262
ENSMUSG00000023972	451.8	517.4	-0.19717531649693	3.67639917860395	8.45649925951988	0.00630814489928503	0.0265421652341262
ENSMUSG00000021699	1306	1219.4	0.110053656523784	5.02361806208077	8.45380320764312	0.0063156387309802	0.0265666344599218
ENSMUSG00000097785	287.4	328.4	-0.212269891281053	2.94651479137291	8.444484411508	0.00634161454065624	0.0266688141774834
ENSMUSG00000021493	6215	6667.8	-0.112096730008806	7.34987015136791	8.44227634577542	0.00634778623382975	0.0266734549382054
ENSMUSG00000090272	20.2	28.6	-0.515511795488581	-0.576688595351916	11.136696635406	0.00634795635234504	0.0266734549382054
ENSMUSG00000083287	144.4	171.2	-0.26415568098233	2.00979343220896	8.4419398237655	0.00634872740161651	0.0266734549382054
ENSMUSG00000033166	504.4	547.6	-0.120167096821608	3.71480759244086	8.44129260607944	0.00635053792846274	0.0266734549382054
ENSMUSG00000092536	66.6	81.8	-0.312219593696606	0.923887116216343	8.44104930303157	0.00635121868775951	0.0266734549382054
ENSMUSG00000029797	67.6	50.2	0.440666934488103	0.654051563290948	8.44047400525845	0.00635282867629251	0.0266734549382054
ENSMUSG00000052087	2667	2988	-0.165667126391033	6.21231049262104	8.43807619725647	0.00636683640239139	0.0267237234122241
ENSMUSG00000038781	114.2	93	0.268211820071575	1.39515079552017	8.43499718028422	0.00636817769353144	0.0267237234122241
ENSMUSG00000023345	507.2	558.8	-0.141810992907492	3.73488152164209	8.43174533158412	0.00637730995678975	0.0267549534338789
ENSMUSG00000051331	3359.6	3017.4	0.159882212455022	6.43092966498186	8.43239697802989	0.00638075452001825	0.0267623114195466
ENSMUSG00000109780	39	51.4	-0.384311848278246	0.223629394117834	8.4279785373458	0.00638790593223447	0.0267852087420767
ENSMUSG00000104011	93	117.2	-0.331099206523203	1.33798865710568	8.42659156275708	0.00639181224431027	0.0267944904701238
ENSMUSG00000021958	275	314.2	-0.21192975422247	2.88363868338215	8.42555189790359	0.00639474206534563	0.0267948917711474
ENSMUSG00000046329	22212.2	24038	-0.122935301902256	9.21685329186412	8.42535626840663	0.00639529351894593	0.0267948917711474
ENSMUSG00000019804	4885.4	4429.2	0.127853758620036	6.87860049286039	8.42241886535739	0.00640357980865676	0.0268225098680148
ENSMUSG00000047181	2001.2	1825.4	0.143902267166275	5.65961685396908	8.42048299597453	0.00640904711401302	0.0268383086687069
ENSMUSG00000047030	2957.8	3143.8	-0.0890691517408919	6.28247555292094	8.41550486958281	0.00642312941998915	0.0268901654559662
ENSMUSG00000028757	2934.2	2766.8	0.0885581710581439	6.16763565225607	8.41474524647275	0.00642528118876521	0.0268920613265374
ENSMUSG00000016181	537.4	490.8	0.124896976034739	3.75930997418596	8.41029372239085	0.00643790649309388	0.0269377800367917
ENSMUSG00000040029	2058	1907.6	0.105803806321819	5.66778180910985	8.40782721284896	0.00644491341042356	0.0269599720860451
