	GeneID	Chr	Symbol	NExons	P.Value	FDR
80321	14390	16	Gabpa	10	0.835165005226744	1
144569	29818	4	Hspb7	3	0.835202311007122	1
29658	71520	11	Grap	5	0.835223577720697	1
10989	226541	1	Klhl20	12	0.83526746450146	1
67715	22045	15	Trhr	4	0.835487032888416	1
120785	18769	2	Pkig	6	0.835604438957869	1
95922	494504	18	Apcdd1	5	0.835645284452818	1
151329	77382	5	C030018K13Rik	5	0.835693643663287	1
27733	104625	11	Cnot6	12	0.835768304179537	1
67026	223455	15	March6	26	0.835836050777879	1
83795	407831	17	Tmem204	3	0.835979833980861	1
157463	66593	5	Diablo	6	0.835980802730861	1
47741	66787	12	Gskip	3	0.835989466052008	1
4508	21961	1	Tns1	35	0.836120824381094	1
97370	623279	18	Dok6	8	0.836152715048948	1
209842	245026	9	Col6a6	38	0.836179520862456	1
54661	105377	13	Slf1	21	0.83618379072959	1
86071	14972	17	H2-K1	8	0.836200653518875	1
169193	67784	6	Plxnd1	36	0.836267485351813	1
17024	15500	10	Hsf2	12	0.836384044727281	1
84313	215445	17	Rab11fip3	16	0.836394118953257	1
165616	66870	6	Serbp1	8	0.836396360365491	1
105743	12151	2	Bmi1	10	0.836420026529714	1
160118	231842	5	Amz1	8	0.836457017838554	1
136855	20530	4	Slc31a2	4	0.836537868722618	1
116175	214585	2	Spg11	40	0.836645475868199	1
106197	77683	2	Ehmt1	26	0.836654396464981	1
146489	14688	4	Gnb1	12	0.836680595134506	1
217197	16151	X	Ikbkg	14	0.836768780039334	1
32876	12874	11	Cpd	21	0.836772744335888	1
2518	20324	1	Cavin2	2	0.836830679543221	1
127579	74343	3	Crtc2	14	0.836964995627737	1
180617	319752	7	B230209E15Rik	5	0.837117431199823	1
15362	237336	10	Tbpl1	7	0.837173130717022	1
29901	67510	11	Tvp23b	7	0.837224518248014	1
44505	68055	12	Atp5s	5	0.837273694486248	1
159594	118446	5	Gjc3	3	0.837329660566579	1
104876	66540	2	Fam107b	4	0.837390997964414	1
196968	65115	8	Bean1	7	0.837399040592596	1
92596	16774	18	Lama3	75	0.837569246959047	1
140891	230700	4	Foxj3	13	0.837602843658913	1
213578	22232	X	Slc35a2	5	0.837609861850361	1
208367	244958	9	Mrap2	5	0.837664400640656	1
109747	71684	2	Rbm43	6	0.837733285359177	1
60823	11546	14	Parp2	16	0.837737763165834	1
18900	20610	10	Sumo3	4	0.837771058422073	1
22928	17246	10	Mdm2	12	0.837811643510713	1
127336	229534	3	Pbxip1	11	0.837819149557061	1
49595	69237	13	Gtpbp4	17	0.837839634733617	1
