	GeneID	Chr	Symbol	NExons	P.Value	FDR
167143	17119	6	Mxd1	6	0.0886074565856097	1
3148	71724	1	Aox3	35	0.0887085259581609	1
165007	231991	6	Creb5	7	0.0887122816993188	1
196770	17388	8	Mmp15	10	0.0888770096042271	1
77349	210126	16	Lpp	16	0.0897071648964242	1
206733	208117	9	Aph1b	6	0.0898053626385222	1
147247	207704	5	Gtpbp10	10	0.0900632487224004	1
181767	14159	7	Fes	19	0.0902034170621686	1
91163	225027	17	Srsf7	9	0.0912049914073888	1
207333	67685	9	Dyx1c1	9	0.0915288327637949	1
23564	216441	10	Slc26a10	18	0.0917423341611958	1
39172	217265	11	Abca5	39	0.092163745321138	1
78702	320214	16	Maats1	17	0.0928776054575526	1
76632	108105	16	B3gnt5	6	0.0931168931679323	1
158971	109267	5	Ssc4d	11	0.0932362178778628	1
164444	272347	6	Zfp398	6	0.0934370195392149	1
213692	13595	X	Ebp	5	0.0934480457175845	1
28168	21414	11	Tcf7	10	0.0935677473849569	1
64602	380921	14	Dgkh	31	0.0937997004575411	1
81841	72536	17	Tagap	10	0.0940007367883685	1
43739	544864	12	Gm5785	3	0.0942363207066018	1
70981	321003	15	Xpnpep3	9	0.0945393218675737	1
92197	75739	18	Mpp7	17	0.0947288187253369	1
178460	210104	7	Zfp658	5	0.0948393618278584	1
214989	77286	X	Nkrf	3	0.0949778692129806	1
185366	71517	7	9030624J02Rik	31	0.0953493784798769	1
170438	14794	6	Spsb2	3	0.0955627368173592	1
91836	77057	17	Ston1	4	0.0956500672427665	1
41398	71276	11	Ccdc57	19	0.0965117214983193	1
203557	170761	9	Pdzd3	11	0.0971354488047538	1
195148	18747	8	Prkaca	10	0.0976562340594075	1
134460	30046	4	Zfp292	8	0.0977189284112851	1
162237	22413	6	Wnt2	5	0.0979665268775333	1
78401	381045	16	Ccdc58	6	0.0982468906690352	1
176279	22717	7	Zfp59	5	0.0984067222721676	1
64226	19645	14	Rb1	27	0.0984429330205008	1
42360	217430	12	Pqlc3	8	0.0985934443891582	1
37001	80861	11	Dhx58	13	0.0988409242292199	1
14039	214791	1	Sertad4	5	0.0989514106301026	1
120017	13821	2	Epb41l1	24	0.0990723216730375	1
134060	212377	4	Mms22l	24	0.0991473145310123	1
78233	107589	16	Mylk	32	0.0997239725228212	1
65904	239319	15	Card6	4	0.0997838830669048	1
24123	21853	10	Timeless	30	0.0999094307843968	1
89841	13733	17	Adgre1	22	0.0999446148278006	1
179697	27421	7	Abcc6	31	0.0999619003834544	1
216936	56292	X	Naa10	8	0.100022285680325	1
107897	227696	2	Phyhd1	13	0.100493988890511	1
97042	240427	18	Setbp1	6	0.100502709044984	1
136379	54357	4	Epb41l4b	16	0.100537783568975	1
205005	64602	9	Ireb2	22	0.100596088807155	1
211600	67169	9	Nradd	5	0.100687184856602	1
222982	170942	Y	Erdr1	3	0.101303967690891	1
42801	20115	12	Rps7	7	0.101707074704608	1
199998	108148	8	Galnt2	16	0.101870205258065	1
71864	12614	15	Celsr1	35	0.102142104720625	1
124505	100039027	3	Gm2011	6	0.102227531051995	1
140813	56401	4	P3h1	16	0.102229390787904	1
205542	20897	9	Stra6	22	0.102341749926723	1
98502	16998	19	Ltbp3	28	0.102375995953428	1
22814	237558	10	Myrfl	25	0.102641419315059	1
127325	68911	3	Pygo2	3	0.102667302813037	1
108562	227733	2	Pip5kl1	10	0.103043406767836	1
194042	76478	8	Haus8	11	0.103294314426275	1
121138	17395	2	Mmp9	13	0.103535404364764	1
74019	74127	15	Krt80	9	0.103567240633322	1
22693	14160	10	Lgr5	18	0.103683957392882	1
42749	58185	12	Rsad2	6	0.10418708944549	1
221356	67043	X	Syap1	9	0.104250263132432	1
137493	19266	4	Ptprd	31	0.104404455721642	1
2918	329154	1	Ankrd44	28	0.10499987034401	1
176288	73430	7	Zfp974	4	0.105068212943142	1
220467	77622	X	Apex2	6	0.105413929474591	1
177179	233064	7	Wdr62	33	0.105961489089531	1
175610	18987	7	Pou2f2	15	0.10607879255521	1
99260	56072	19	Lgals12	9	0.106157026780474	1
40363	217353	11	Tmc6	20	0.106221122948843	1
54993	373852	13	4833422C13Rik	4	0.106233055225986	1
200741	234912	9	9230110C19Rik	7	0.10632460103778	1
216267	320940	X	Atp11c	30	0.106719080426947	1
143235	53902	4	Rcan3	5	0.106849529216114	1
114127	19672	2	Rcn1	6	0.106868277327842	1
85877	17916	17	Myo1f	28	0.107579516024274	1
33206	216974	11	Proca1	4	0.107892074044603	1
83237	11984	17	Atp6v0c	3	0.107893411143674	1
142582	242681	4	Rab42	2	0.108260499103656	1
136275	16600	4	Klf4	5	0.1083731438497	1
36678	66809	11	Krt20	8	0.108580353374034	1
88654	63856	17	Taf8	9	0.108721625886419	1
467	17978	1	Ncoa2	23	0.108838005126155	1
